"name"	"taxRank"	"taxID"	"Max"	"C4.16S.txt.cladeReads.."	"lineage"
"unclassified"	"U"	0	16.21	16.21	"unclassified"
"root><wbr>cellular organisms><wbr>Bacteria"	"D"	2	83.79	83.79	"cellular&nbsp;organisms"
"Terrabacteria group"	"-"	1783272	39.85	39.85	"cellular&nbsp;organisms>Bacteria"
"Bacillota"	"P"	1239	37.92	37.92	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group"
"Clostridia"	"C"	186801	35.75	35.75	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota"
"Eubacteriales"	"O"	186802	35.72	35.72	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia"
"Lachnospiraceae"	"F"	186803	29.64	29.64	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales"
"Mediterraneibacter"	"G"	2316020	15.34	15.34	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae"
"[Ruminococcus] gnavus><wbr>[Ruminococcus] gnavus ATCC 29149"	"-"	411470	13.85	13.85	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Mediterraneibacter>[Ruminococcus]&nbsp;gnavus"
"[Ruminococcus] torques"	"S"	33039	1.255	1.255	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Mediterraneibacter"
"Mediterraneibacter faecis><wbr>[Ruminococcus] faecis JCM 15917"	"-"	1298596	0.09178	0.09178	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Mediterraneibacter>Mediterraneibacter&nbsp;faecis"
"Mediterraneibacter catenae"	"S"	2594882	0.05245	0.05245	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Mediterraneibacter"
"Mediterraneibacter butyricigenes"	"S"	2316025	0.02622	0.02622	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Mediterraneibacter"
"[Ruminococcus] lactaris><wbr>[Ruminococcus] lactaris ATCC 29176"	"-"	471875	0.01311	0.01311	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Mediterraneibacter>[Ruminococcus]&nbsp;lactaris"
"Mediterraneibacter glycyrrhizinilyticus"	"S"	342942	0.009834	0.009834	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Mediterraneibacter"
"Enterocloster"	"G"	2719313	2.045	2.045	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae"
"Enterocloster clostridioformis"	"S"	1531	1.144	1.144	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Enterocloster"
"Enterocloster lavalensis"	"S"	460384	0.1311	0.1311	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Enterocloster"
"Enterocloster aldenensis"	"S"	358742	0.1147	0.1147	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Enterocloster"
"Enterocloster bolteae"	"S"	208479	0.1049	0.1049	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Enterocloster"
"Enterocloster asparagiformis"	"S"	333367	0.04261	0.04261	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Enterocloster"
"Enterocloster citroniae"	"S"	358743	0.009834	0.009834	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Enterocloster"
"Roseburia"	"G"	841	1.98	1.98	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae"
"Roseburia inulinivorans><wbr>Roseburia inulinivorans DSM 16841"	"-"	622312	0.908	0.908	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Roseburia>Roseburia&nbsp;inulinivorans"
"Roseburia intestinalis"	"S"	166486	0.531	0.531	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Roseburia"
"Roseburia intestinalis L1-82"	"-"	536231	0.006556	0.006556	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Roseburia>Roseburia&nbsp;intestinalis"
"Roseburia hominis><wbr>Roseburia hominis A2-183"	"-"	585394	0.2524	0.2524	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Roseburia>Roseburia&nbsp;hominis"
"Roseburia faecis"	"S"	301302	0.1803	0.1803	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Roseburia"
